id,ciudad,provincia,pais
399,Yopal,Casanare,Colombia
400,Almaguer,Cauca,Colombia
401,Argelia,Cauca,Colombia
402,Balboa,Cauca,Colombia
403,Bolívar,Cauca,Colombia
404,Buenos Aires,Cauca,Colombia
405,Cajibío,Cauca,Colombia
406,Caldono,Cauca,Colombia
407,Caloto,Cauca,Colombia
408,Corinto,Cauca,Colombia
409,El Tambo,Cauca,Colombia
410,Florencia,Cauca,Colombia
411,Guachené,Cauca,Colombia
412,Guapi,Cauca,Colombia
413,Inzá,Cauca,Colombia
414,Jambaló,Cauca,Colombia
415,La Sierra,Cauca,Colombia
416,La Vega,Cauca,Colombia
417,López de Micay,Cauca,Colombia
418,Mercaderes,Cauca,Colombia
419,Miranda,Cauca,Colombia
420,Morales,Cauca,Colombia
421,Padilla,Cauca,Colombia
422,Páez,Cauca,Colombia
423,Patía,Cauca,Colombia
424,Piamonte,Cauca,Colombia
425,Piendamo,Cauca,Colombia
426,Popayán,Cauca,Colombia
427,Puerto Tejada,Cauca,Colombia
428,Puracé,Cauca,Colombia
429,Rosas,Cauca,Colombia
430,San Sebastián,Cauca,Colombia
431,Santa Rosa,Cauca,Colombia
432,Santander de Quilichao,Cauca,Colombia
433,Silvia,Cauca,Colombia
434,Sotará,Cauca,Colombia
435,Suárez,Cauca,Colombia
436,Sucre,Cauca,Colombia
437,Timbío,Cauca,Colombia
438,Timbiquí,Cauca,Colombia
439,Toribio,Cauca,Colombia
440,Totoró,Cauca,Colombia
441,Villa Rica,Cauca,Colombia
442,Aguachica,Cesar,Colombia
443,Agustín Codazzi,Cesar,Colombia
444,Astrea,Cesar,Colombia
445,Becerril,Cesar,Colombia
446,Bosconia,Cesar,Colombia
447,Chimichagua,Cesar,Colombia
448,Chiriguaná,Cesar,Colombia
449,Curumaní,Cesar,Colombia
450,El Copey,Cesar,Colombia
451,El Paso,Cesar,Colombia
452,Gamarra,Cesar,Colombia
453,González,Cesar,Colombia
454,La Gloria,Cesar,Colombia
455,La Jagua de Ibirico,Cesar,Colombia
456,La Paz,Cesar,Colombia
457,Manaure Balcón del Cesar,Cesar,Colombia
458,Pailitas,Cesar,Colombia
459,Pelaya,Cesar,Colombia
460,Pueblo Bello,Cesar,Colombia
461,Río de Oro,Cesar,Colombia
462,San Alberto,Cesar,Colombia
463,San Diego,Cesar,Colombia
464,San Martín,Cesar,Colombia
465,Tamalameque,Cesar,Colombia
466,Valledupar,Cesar,Colombia
467,Acandí,Chocó,Colombia
468,Alto Baudó,Chocó,Colombia
469,Atrato,Chocó,Colombia
470,Bagadó,Chocó,Colombia
471,Bahía Solano,Chocó,Colombia
472,Bajo Baudó,Chocó,Colombia
473,Bojayá,Chocó,Colombia
474,Carmen del Darien,Chocó,Colombia
475,Cértegui,Chocó,Colombia
476,Condoto,Chocó,Colombia
477,El Cantón de San Pablo,Chocó,Colombia
478,El Carmen de Atrato,Chocó,Colombia
479,Istmina,Chocó,Colombia
480,Juradó,Chocó,Colombia
481,Litoral del San Juan,Chocó,Colombia
482,Lloró,Chocó,Colombia
483,Medio Atrato,Chocó,Colombia
484,Medio Baudó,Chocó,Colombia
485,Medio San Juan,Chocó,Colombia
486,Nóvita,Chocó,Colombia
487,Nuquí,Chocó,Colombia
488,Quibdó,Chocó,Colombia
489,Río Iro,Chocó,Colombia
490,Río Quito,Chocó,Colombia
491,Riosucio,Chocó,Colombia
492,San José del Palmar,Chocó,Colombia
493,Sipí,Chocó,Colombia
494,Tadó,Chocó,Colombia
495,Unguía,Chocó,Colombia
496,Unión Panamericana,Chocó,Colombia
497,Ayapel,Córdoba,Colombia
498,Buenavista,Córdoba,Colombia
499,Canalete,Córdoba,Colombia
500,Cereté,Córdoba,Colombia
501,Chimá,Córdoba,Colombia
502,Chinú,Córdoba,Colombia
503,Ciénaga de Oro,Córdoba,Colombia
